000,----,--,--,--,city                 ,latitude   ,longitude   ,studieverblijf,standplaats,zonder verankering,kort verblijf
108,----,EU,NL,--,Vlaardingen          ,-          ,-           ,-,-,-,Wim Thielemans
109,--¶¶,EU,IT,--,ITALIË               ,-          ,-           ,-,2,2,6
110,-¶¶¶,EU,IT,--,ROMA                 ,41.902784  ,12.496366   ,-,-,-,3
111,----,EU,IT,--,Roma                 ,-          ,-           ,-,-,-,Jelle Haemers
112,----,EU,IT,--,Roma                 ,-          ,-           ,-,-,-,Pieter Martens
113,----,EU,IT,--,Roma                 ,-          ,-           ,-,-,-,Violet Soen
114,-¶¶¶,EU,IT,--,BOLOGNA              ,44.494887  ,11.342616   ,-,1,-,1
115,----,EU,IT,--,Bologna              ,-          ,-           ,-,Koen De Temmerman,-,-
116,----,EU,IT,--,Bologna              ,-          ,-           ,-,-,-,Violet Soen
117,-¶¶¶,EU,IT,--,FIRENZE              ,43.771033  ,11.248001   ,-,-,1,1
118,----,EU,IT,--,Firenze              ,-          ,-           ,-,-,Violet Soen,-
119,----,EU,IT,--,Firenze              ,-          ,-           ,-,-,-,Koen Jonckheere
120,-¶¶¶,EU,IT,--,GENOVA               ,44.40565   ,8.946256    ,-,1,-,-
121,----,EU,IT,--,Genova               ,-          ,-           ,-,Bram Vanderborght,-,-
122,-¶¶¶,EU,IT,--,BERGAMO              ,45.698264  ,9.67727     ,-,-,1,-
123,----,EU,IT,--,Bergamo              ,-          ,-           ,-,-,Noël Salazar,-
124,-¶¶¶,EU,IT,--,TORINO               ,45.070312  ,7.686856    ,-,-,-,1
125,----,EU,IT,--,Torino               ,-          ,-           ,-,-,-,Pieter Martens
126,--¶¶,EU,ES,--,SPANJE               ,-          ,-           ,-,1,-,7
127,-¶¶¶,EU,ES,--,SANTANDER            ,43.462306  ,-3.80998    ,-,-,-,1
128,----,EU,ES,--,Santander            ,-          ,-           ,-,-,-,Jelle Haemers
129,-¶¶¶,EU,ES,--,VALLADOLID           ,41.652251  ,-4.724532   ,-,1,-,1
130,----,EU,ES,--,Valladolid           ,-          ,-           ,-,Violet Soen,-,-
131,----,EU,ES,--,Valladolid           ,-          ,-           ,-,-,-,Violet Soen
132,-¶¶¶,EU,ES,--,BARCELONA            ,41.385064  ,2.173403    ,-,-,-,1
133,----,EU,ES,--,Barcelona            ,-          ,-           ,-,-,-,Violet Soen
134,-¶¶¶,EU,ES,--,CARTAGENA            ,37.625683  ,-0.996584   ,-,-,-,1
135,----,EU,ES,--,Cartagena            ,-          ,-           ,-,-,-,Ann Dooms
136,-¶¶¶,EU,ES,--,MADRID               ,40.416775  ,-3.70379    ,-,-,-,1
137,----,EU,ES,--,Madrid               ,-          ,-           ,-,-,-,Violet Soen
138,-¶¶¶,EU,ES,--,MURCIA               ,37.99224   ,-1.130654   ,-,-,-,1
139,----,EU,ES,--,Murcia               ,-          ,-           ,-,-,-,Ann Dooms
140,-¶¶¶,EU,ES,--,TOLEDO               ,39.856667  ,-4.024444   ,-,-,-,1
141,----,EU,ES,--,Toledo               ,-          ,-           ,-,-,-,Violet Soen
142,--¶¶,EU,CH,--,ZWITSERLAND          ,-          ,-           ,-,-,-,3
143,-¶¶¶,EU,CH,--,GENÈVE               ,46.198392  ,6.142296    ,-,-,-,3
144,----,EU,CH,--,Genève               ,-          ,-           ,-,-,-,Jorgen D’Hondt
145,----,EU,CH,--,Genève               ,-          ,-           ,-,-,-,Lieve Van Hoof
146,----,EU,CH,--,Genève               ,-          ,-           ,-,-,-,Peter Van Nuffelen
147,--¶¶,EU,RU,--,RUSLAND              ,-          ,-           ,-,-,1,1
148,-¶¶¶,EU,RU,--,MOSKVA               ,55.755826  ,37.6173     ,-,-,1,1
149,----,EU,RU,--,Moskva               ,-          ,-           ,-,-,Ben Dhooge,-
150,----,EU,RU,--,Moskva               ,-          ,-           ,-,-,-,Ben Dhooge
151,--¶¶,EU,AT,--,OOSTENRIJK           ,-          ,-           ,-,-,-,2
152,-¶¶¶,EU,AT,--,WIEN                 ,48.208174  ,16.373819   ,-,-,-,2
153,----,EU,AT,--,Wien                 ,-          ,-           ,-,-,-,Jelle Haemers
154,----,EU,AT,--,Wien                 ,-          ,-           ,-,-,-,Jelle Haemers
155,--¶¶,EU,EE,--,ESTLAND              ,-          ,-           ,-,-,-,1
156,-¶¶¶,EU,EE,--,TALINN               ,59.45      ,24.733333   ,-,-,-,1
157,----,EU,EE,--,Talinn               ,-          ,-           ,-,-,-,Noël Salazar
158,--¶¶,EU,IE,--,IERLAND              ,-          ,-           ,-,-,-,1
159,-¶¶¶,EU,IE,--,DUBLIN               ,53.349805  ,-6.26031    ,-,-,-,1
160,----,EU,IE,--,Dublin               ,-          ,-           ,-,-,-,Wim Thielemans
161,--¶¶,EU,NO,--,NOORWEGEN            ,-          ,-           ,-,-,-,1
162,-¶¶¶,EU,NO,--,TRONDHEIM            ,63.430515  ,10.395053   ,-,-,-,1
163,----,EU,NO,--,Trondheim            ,-          ,-           ,-,-,-,Tine Huyse
164,--¶¶,EU,PL,--,POLEN                ,-          ,-           ,-,-,-,1
165,-¶¶¶,EU,PL,--,WARSZAWA             ,52.229676  ,21.012229   ,-,-,-,1
166,----,EU,PL,--,Warszawa             ,-          ,-           ,-,-,-,Ann Dooms
167,--¶¶,EU,RO,--,ROEMENIË             ,-          ,-           ,-,-,-,1
168,-¶¶¶,EU,RO,--,CLUJ-NAPOCA          ,46.766667  ,23.583333   ,-,-,-,1
169,----,EU,RO,--,Cluj-Napoca          ,-          ,-           ,-,-,-,Bram Vanderborght
170,--¶¶,EU,SE,--,ZWEDEN               ,-          ,-           ,-,-,-,1
171,-¶¶¶,EU,SE,--,ÖREBRO               ,59.273889  ,15.2075     ,-,-,-,1
172,----,EU,SE,--,Örebro               ,-          ,-           ,-,-,-,Goedele De Clerck
173,---¶,NA,--,--,NOORD-AMERIKA        ,-          ,-           ,2,6,7,26
174,--¶¶,NA,US,CA,CALIFORNIA           ,-          ,-           ,-,3,1,9
175,-¶¶¶,NA,US,CA,BERKELEY CA          ,37.871593  ,-122.272747 ,-,2,-,5
176,----,NA,US,CA,Berkeley CA          ,-          ,-           ,-,Ben Dhooge,-,-
177,----,NA,US,CA,Berkeley CA          ,-          ,-           ,-,Samuel Mareel,-,-
178,----,NA,US,CA,Berkeley CA          ,-          ,-           ,-,-,-,Koen Brosens
179,----,NA,US,CA,Berkeley CA          ,-          ,-           ,-,-,-,Koen Jonckheere
180,----,NA,US,CA,Berkeley CA          ,-          ,-           ,-,-,-,Marian Verhelst
181,----,NA,US,CA,Berkeley CA          ,-          ,-           ,-,-,-,Noël Salazar
182,----,NA,US,CA,Berkeley CA          ,-          ,-           ,-,-,-,Samuel Mareel
183,-¶¶¶,NA,US,CA,LOS ANGELES CA       ,34.052234  ,-118.243685 ,-,1,-,2
184,----,NA,US,CA,Los Angeles CA       ,-          ,-           ,-,Ben Dhooge,-,-
185,----,NA,US,CA,Los Angeles CA       ,-          ,-           ,-,-,-,Koen Brosens
186,----,NA,US,CA,Los Angeles CA       ,-          ,-           ,-,-,-,Koen Jonckheere
187,-¶¶¶,NA,US,CA,STANFORD CA          ,37.424106  ,-122.166076 ,-,-,1,-
188,----,NA,US,CA,Stanford CA          ,-          ,-           ,-,-,Koen De Temmerman,-
189,-¶¶¶,NA,US,CA,SAN FRANCISCO CA     ,37.77493   ,-122.419416 ,-,-,-,1
190,----,NA,US,CA,San Francisco CA     ,-          ,-           ,-,-,-,Koen Jonckheere
191,-¶¶¶,NA,US,CA,SAN DIEGO CA         ,32.715738  ,-117.161084 ,-,-,-,1
192,----,NA,US,CA,San Diego CA         ,-          ,-           ,-,-,-,Korneel Rabaey
193,--¶¶,NA,US,PA,PENNSYLVANIA         ,-          ,-           ,1,-,1,2
194,-¶¶¶,NA,US,PA,PHILADELPHIA PA      ,39.952584  ,-75.165222  ,1,-,1,1
195,----,NA,US,PA,Philadelphia PA      ,-          ,-           ,Noël Salazar,-,-,-
196,----,NA,US,PA,Philadelphia PA      ,-          ,-           ,-,-,Noël Salazar,-
197,----,NA,US,PA,Philadelphia PA      ,-          ,-           ,-,-,-,Koen Brosens
198,-¶¶¶,NA,US,PA,LEBANON PA           ,40.340925  ,-76.41135   ,-,-,-,1
199,----,NA,US,PA,Lebanon PA           ,-          ,-           ,-,-,-,Veerle De Herdt
200,--¶¶,NA,US,NC,NORTH CAROLINA       ,-          ,-           ,-,-,1,2
